pF5v4wGe;John Doe;john@doe.com;1
k0_JUq+8hk;Kim Rodgers;kim@rodgers.com;0
l4x__QmU8r;Tom Brady;goat@goat.com;1
P7+5Ggza!n;Dak Prescott;younggoat@younggoat.com;1
B8i!y3Z+vy;Mark Sanchez;butball@president.com;1
bxb0+WW3i!;Chris Walker;cris_walker@mail.com;1
cEj2j!_q8T;Ridley Scott;ridleyscott@producer.com;1
8!_G7dCses;Christopher Nolan;crishtop@nola.com;1
p3wG-nT+5n;Guy Ritchie;guyritchie@riche.com;0
xp!f_8HmN4;Martin Scorsese;martinoo@sese.com;1
+RnC6x8wm+;Jason Statham;therealjason@thereal.com;1
+GQ_vga2z9;Mr.Pink;mr_pink@dontgivetip.com;1
9v!RrfbW9+;Marsellus Wallace;doeshelook@likeab*tch.com;1
bc!8NHvs6+;Cherry Darling;cherry@machinegunleg.com;1
